                                     mean         std        2.5q        25q        50q         75q      97.5q       mc err
a_subj(HC.neutral).16             2.78183    0.265567     2.29249    2.59752    2.77683     2.95817    3.32469    0.0125797
a_subj(HC.neutral).17             1.98174    0.213167     1.59926    1.83512    1.96321     2.10835    2.45929    0.0119031
a_subj(HC.neutral).19             2.92843    0.242139     2.45649    2.76297    2.92684     3.09326    3.40514    0.0111543
a_subj(HC.neutral).20             3.83677    0.351279     3.19963    3.58646    3.82221     4.08151    4.53344     0.017522
a_subj(HC.neutral).21             2.62372    0.178893     2.28389    2.50247     2.6228     2.73853    2.98465   0.00637598
a_subj(HC.neutral).23             1.75851     0.17694     1.45022    1.63457    1.74143     1.86355    2.15267   0.00973865
a_subj(HC.neutral).24             2.54563      0.3575     1.89145    2.30122    2.52903     2.76916    3.31171    0.0272609
a_subj(HC.neutral).25             2.25703    0.250285     1.83037    2.06957    2.23465     2.42829    2.78178    0.0140324
a_subj(HC.neutral).26             2.05156    0.200531     1.70722     1.9017    2.03635     2.18215     2.4896    0.0107846
a_subj(HC.neutral).28             2.03806    0.250959     1.60019    1.85843    2.02512     2.19962    2.57669    0.0161409
a_subj(HC.neutral).31             2.03136    0.255738     1.57975    1.85436    2.01139      2.1911    2.59454    0.0171244
a_subj(HC.neutral).32             2.05954    0.224418     1.68058    1.89814    2.03605     2.20345    2.55037    0.0135077
a_subj(HC.neutral).33             2.52429    0.204603     2.15046    2.38005    2.51793     2.66349      2.938    0.0087265
a_subj(HC.neutral).34             1.94927    0.204377     1.61163    1.79765     1.9276     2.07884    2.41393    0.0109477
a_subj(HC.neutral).39             3.24504      0.4007     2.54716    2.95956    3.20959      3.5006    4.10756    0.0251436
a_subj(HC.neutral).40             1.54212    0.183292     1.25368    1.41402    1.52127     1.63744    1.96648    0.0117905
a_subj(HC.neutral).41             1.82157    0.191433     1.50086    1.68159    1.80041     1.94531    2.24071    0.0104476
a_subj(HC.neutral).43             1.48692    0.128652     1.26601    1.39673    1.47683     1.56311    1.77462   0.00600638
a_subj(HC.neutral).44             2.61036    0.303655     2.06865    2.39418    2.59304     2.80666    3.23704     0.018067
a_subj(HC.neutral).46              1.5146    0.155684     1.26434    1.40424    1.49453     1.60204    1.87298   0.00788691
a_subj(HC.neutral).48             1.75468    0.281335      1.3454    1.56384    1.70632      1.8861    2.45256    0.0223553
a_subj(HC.neutral).49             2.51776    0.312843     1.98572    2.29584    2.49265     2.71537    3.19386    0.0219981
a_subj(HC.neutral).52              1.5833    0.214581     1.24822    1.43033    1.55894      1.7043    2.07602    0.0145248
a_subj(HC.neutral).53             2.55254    0.335698     1.94189    2.31539    2.53048     2.76845    3.28393    0.0250345
a_subj(HC.neutral).54             2.61928    0.240649     2.19031    2.44958    2.60628     2.77262    3.13052    0.0122861
a_subj(HC.neutral).55             2.06734    0.229332     1.67097    1.89847    2.05225     2.22432    2.53989    0.0133268
a_subj(HC.neutral).56             2.53274    0.236398      2.1033    2.36665    2.51944     2.68647     3.0262    0.0118809
a_subj(HC.neutral).57             2.64448    0.215704     2.24677     2.4918    2.63453     2.78454    3.08833    0.0082269
a_subj(HC.neutral).58             2.07734    0.337364     1.45976    1.84584    2.06972     2.28084    2.86458    0.0268534
a_subj(HC.neutral).59             2.29844    0.268479     1.82949    2.10806    2.28507     2.46285    2.91532    0.0176817
a_subj(HC.neutral).60             2.71496    0.227313     2.30533    2.55382    2.70635     2.86254    3.19333   0.00970886
a_subj(HC.neutral).61             2.05122    0.216458     1.70144    1.89702    2.02698      2.1895    2.53244    0.0110819
