ii                                    mean         std        2.5q        25q         50q        75q      97.5q       mc_err
v_subj(HC.hoarding).28             1.69074    0.474339    0.957145    1.37754     1.61637    1.91949     2.8739    0.0133313
v_subj(HC.hoarding).29             1.66496      1.4022    0.416668   0.662342    0.845524    2.73354    4.94868     0.111849
v_subj(HC.hoarding).30             1.58763    0.290473     1.07222    1.39965     1.56636    1.75321    2.21932   0.00706765
v_subj(HC.hoarding).31            0.820638     1.32396   -0.998165   0.018835    0.463547    1.31463    4.32861    0.0334108
v_subj(HC.hoarding).32             1.54743       0.676    0.721489    1.08452     1.37307    1.82516    3.34563     0.031168
v_subj(HC.hoarding).33             2.45352    0.306197     1.86968     2.2483      2.4464    2.64743    3.09618   0.00672309
v_subj(HC.hoarding).34             1.55945    0.433807    0.813077    1.25254     1.52566    1.83209    2.51356    0.0121912
v_subj(HC.hoarding).35             2.57954    0.758227     1.31445    1.98953     2.55264    3.08366    4.14584    0.0335352
v_subj(HC.hoarding).36             2.63984     1.61925    0.697424    1.34079     2.31363    3.52826    6.68919     0.113229
v_subj(HC.hoarding).37             1.39716    0.207889     1.02397    1.25801     1.38482    1.52889    1.79876   0.00482564
v_subj(HC.hoarding).38           -0.740272    0.383295    -1.39385  -0.887839   -0.727629  -0.564674  -0.222867   0.00729619
v_subj(HC.hoarding).39             1.37978    0.195281      1.0077    1.24343     1.37317    1.51292    1.77355   0.00309422
v_subj(HC.hoarding).40             3.99845    0.470795     3.17123     3.6702     3.95746    4.28404    5.01695    0.0130836
v_subj(HC.hoarding).41             1.90837    0.206228     1.51734    1.76428     1.90047    2.05116    2.32398   0.00325197
v_subj(HC.hoarding).42             2.55582    0.367341     1.97591    2.29543     2.50688    2.75542    3.42891    0.0132968
v_subj(HC.hoarding).43             1.68652     1.04761    0.639849   0.978409     1.30826    2.10107    4.59986    0.0622182
v_subj(HC.hoarding).44            0.739424      1.5919    -1.30835  -0.229022    0.207516    1.39769    4.80578    0.0387783
v_subj(HC.hoarding).45            -6.82216    0.668804    -8.22846     -7.235     -6.7813   -6.36264   -5.61872    0.0234419
v_subj(HC.hoarding).46             3.61893     1.10189     1.81857    2.83656      3.4974    4.27488    6.10288    0.0472496
v_subj(HC.hoarding).47            0.320664     1.06288    -1.82844  -0.085958     0.25607   0.678431    2.91908    0.0225339
v_subj(HC.hoarding).48             1.24895    0.811996    0.461248   0.730739     0.98086    1.55206    3.31602    0.0503001
v_subj(HC.hoarding).49            -0.37391     2.02936    -3.27073   -1.88439   -0.589306   0.376793    4.73935     0.126424
v_subj(HC.hoarding).50             3.45142    0.320783     2.85302    3.22771      3.4416    3.66181    4.09222   0.00694658
v_subj(HC.hoarding).51             6.39712    0.724707     5.12962    5.89805     6.34358    6.84275    7.98303    0.0254961
v_subj(HC.hoarding).52             2.31861     0.67657     1.37607    1.88012     2.21108    2.62112    3.93008    0.0267396
v_subj(HC.hoarding).53             2.06395    0.248965     1.59541    1.90062     2.05745    2.22574    2.56382   0.00537629
v_subj(HC.hoarding).54            0.764744    0.363514    0.407872   0.584673    0.693279   0.845069    1.58762    0.0155819
v_subj(HC.hoarding).55             3.99023     1.00448      2.3776    3.28775      3.9094    4.53372    6.37194    0.0353838
v_subj(HC.hoarding).56             2.20279    0.247811     1.73294    2.03322      2.1943    2.36406    2.70366   0.00475262
v_subj(HC.neutral).14              1.08566    0.546677    0.421884   0.699419    0.948081    1.32999    2.49828    0.0236406
v_subj(HC.neutral).15              2.30999    0.244466       1.842    2.14437     2.30301     2.4617    2.82277   0.00514986
v_subj(HC.neutral).16              0.91826    0.671249    0.276559   0.560688    0.720587   0.957356    3.03833    0.0257414
v_subj(HC.neutral).17              1.34157     1.12572    0.317425   0.612421    0.855027    1.73845    4.45589    0.0656564
v_subj(HC.neutral).18              2.04297    0.799989    0.862529     1.4778     1.90163    2.48587    4.01249     0.033482
v_subj(HC.neutral).19              2.24557     0.56507     1.49028    1.87927     2.13935    2.46682    3.67625    0.0227853
v_subj(HC.neutral).20              5.28703    0.961582     3.53088    4.63581     5.24242    5.92765    7.29412    0.0387767
v_subj(HC.neutral).21              2.59463    0.301997     2.02474    2.38124     2.58884    2.79392    3.20289   0.00525632
v_subj(HC.neutral).23              1.76866     0.23683     1.32599    1.60539     1.76204    1.91904    2.25978   0.00444571
v_subj(HC.neutral).24              0.50298    0.387698    0.164724   0.344594    0.447282   0.564223    1.42122    0.0131726
