response,stim,rt,trial,feedback,subj_code,q_init
1,hoarding,0.863,59,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.655,60,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.638,61,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.608,62,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.783,63,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.556,64,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.773,65,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.702,66,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.477,67,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.541,68,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.880276863269219,69,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.878,70,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.881,71,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.684,72,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.803,73,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.712,74,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.592,75,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.415,76,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.469,77,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.515,78,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.208,79,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.459,80,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.439,81,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.575,82,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.768,83,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.534,84,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.609,85,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.543,86,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.635,87,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.396,88,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.537,89,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,1.1,90,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.665,91,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.698,92,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.767,93,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.482,94,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.767,95,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.531,96,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.47,97,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.371,98,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.555,99,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.694,100,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.866921423390919,101,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.448,102,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.478,103,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.522,104,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.602,105,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.504,106,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.437,107,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.558,108,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.463,109,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.381,110,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,1.787,111,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.967,112,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,1.627,113,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.897439405053313,114,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.353,115,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,1.003,116,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.529,117,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.92,118,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.625,119,0,ma_za_1959_12_04_04_f,0.5
