response,stim,rt,trial,feedback,subj_code,q_init
0,neutral,1.258,127,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.16701591324943,128,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.587,129,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.645,130,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.859,131,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.772,132,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.907,133,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,2.268,134,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.86,135,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.564,136,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.646,137,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.763,138,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.76,139,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.077,140,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.895,141,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.994,142,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.112,143,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.179,144,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.984,145,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.264,146,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.099,147,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.95,148,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.838,149,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.914,150,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,2.497,151,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.126,152,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.22,153,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.599,154,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.898,155,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.664,156,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,2.196,157,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.844,158,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.848,159,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.799,160,0,gi_ba_1958_08_17_01_m,0.5
